locus_tag	product	type	gene_symbol	locus	start_coord	end_coord	note	gene_len	5GB1C_CH4_500ppm-Rep1_tpm	5GB1C_CH4_500ppm-Rep2_tpm	5GB1C_CH4_1000ppm-Rep1_tpm	5GB1C_CH4_1000ppm-Rep2_tpm
EQU24_RS00005	chromosomal replication initiator protein DnaA	CDS	dnaA	NZ_CP035467.1	0	1317	Derived by automated computational analysis using gene prediction method: Protein Homology.	1318	56.74720764034253	55.73439473339173	35.32574142148253	46.81259487196401
EQU24_RS00010	DNA polymerase III subunit beta	CDS	dnaN	NZ_CP035467.1	1502	2603	Derived by automated computational analysis using gene prediction method: Protein Homology.	1102	32.72155876381702	33.4675316056503	30.02053767979418	34.90692769842922
EQU24_RS00015	DNA replication/repair protein RecF	CDS	recF	NZ_CP035467.1	3060	4140	Derived by automated computational analysis using gene prediction method: Protein Homology.	1081	26.409599357272484	23.52943942672917	16.896054882588604	21.368578570587363
EQU24_RS00020	DNA topoisomerase (ATP-hydrolyzing) subunit B	CDS	gyrB	NZ_CP035467.1	4185	6600	Derived by automated computational analysis using gene prediction method: Protein Homology.	2416	48.16723079763344	51.24920637367196	54.22617992925159	61.81149983167682
EQU24_RS00035	hypothetical protein	CDS		NZ_CP035467.1	7350	7734	Derived by automated computational analysis using gene prediction method: GeneMarkS-2+.	385	86.94225223941386	83.05910409224487	94.45124715504836	118.96745460074284
EQU24_RS00040	TolC family protein	CDS		NZ_CP035467.1	7818	9075	Derived by automated computational analysis using gene prediction method: Protein Homology.	1258	9.987241454001984	9.881611136660132	10.456361624753718	11.24936906668314
EQU24_RS00045	efflux RND transporter periplasmic adaptor subunit	CDS		NZ_CP035467.1	9071	10241	Derived by automated computational analysis using gene prediction method: Protein Homology.	1171	9.57399507183288	9.564135831712973	11.001235453809771	11.541213426787946
EQU24_RS00050	CusA/CzcA family heavy metal efflux RND transporter	CDS		NZ_CP035467.1	10240	13306	Derived by automated computational analysis using gene prediction method: Protein Homology.	3067	12.882665161456334	14.070742707672744	15.182123189356576	16.613055442532033
EQU24_RS00055	DUF3240 family protein	CDS		NZ_CP035467.1	13298	13604	Derived by automated computational analysis using gene prediction method: Protein Homology.	307	8.239009843983663	6.476398050769967	8.904041004103956	9.810874416323522
EQU24_RS00060	bifunctional diguanylate cyclase/phosphodiesterase	CDS		NZ_CP035467.1	13842	16413	Derived by automated computational analysis using gene prediction method: Protein Homology.	2572	16.51876390540799	15.74107701489224	15.53613152263195	17.800210722310347
EQU24_RS00070	twin-arginine translocase TatA/TatE family subunit	CDS	tatA	NZ_CP035467.1	19263	19479	Derived by automated computational analysis using gene prediction method: Protein Homology.	217	4.084415839876958	5.241588483444809	4.733640712989805	4.637042181739761
EQU24_RS00075	Sec-independent protein translocase protein TatB	CDS	tatB	NZ_CP035467.1	19487	19799	Derived by automated computational analysis using gene prediction method: Protein Homology.	313	2.7985685050503086	2.818453197136954	2.617294731084493	2.9983322952872205
EQU24_RS00080	2OG-Fe(II) oxygenase	CDS		NZ_CP035467.1	20389	21376	Derived by automated computational analysis using gene prediction method: Protein Homology.	988	10.69155342189446	9.486395402305808	8.545106856892916	9.6427898671817
EQU24_RS00085	prolipoprotein diacylglyceryl transferase	CDS	lgt	NZ_CP035467.1	21633	22416	Derived by automated computational analysis using gene prediction method: Protein Homology.	784	32.156670739348755	31.48343318838517	30.59489056014858	32.73489148409811
